reference_date,jurisdiction_id,indigenous_status_id,sex_id,legal_status_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,raw_jurisdiction,raw_indigenous_status,raw_sex,raw_legal_status
2023-06-30,AUS,TOTAL,FEMALE,TOTAL,prisoner-count,person,3168,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R40C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,TOTAL,Females,Total
2023-06-30,AUS,TOTAL,FEMALE,UNSENTENCED,prisoner-count,person,1391,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R39C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,TOTAL,Females,Unsentenced
2023-06-30,AUS,TOTAL,MALE,SENTENCED,prisoner-count,person,24112,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R34C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,TOTAL,Males,Sentenced
2023-06-30,AUS,TOTAL,MALE,TOTAL,prisoner-count,person,38757,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R36C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,TOTAL,Males,Total
2023-06-30,AUS,TOTAL,MALE,UNSENTENCED,prisoner-count,person,14550,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R35C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,TOTAL,Males,Unsentenced
2023-06-30,AUS,TOTAL,PERSONS,SENTENCED,prisoner-count,person,25888,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R42C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,TOTAL,Persons,Sentenced
2023-06-30,AUS,TOTAL,PERSONS,TOTAL,prisoner-count,person,41929,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R44C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,TOTAL,Persons,Total
2023-06-30,AUS,TOTAL,PERSONS,UNSENTENCED,prisoner-count,person,15937,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R43C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,TOTAL,Persons,Unsentenced
2023-06-30,NSW,INDIGENOUS,FEMALE,SENTENCED,prisoner-count,person,160,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R12C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Females,Sentenced
2023-06-30,NSW,INDIGENOUS,FEMALE,TOTAL,prisoner-count,person,292,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R14C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Females,Total
