row,col,address,.value,sex,sex_source,legal_status,legal_status_source,summary_label,summary_label_source,indigenous_status,indigenous_status_source,state,state_source
16,4,R16C4,2379,Persons ,R15C1,Sentenced ,R16C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Qld,R5C4
16,5,R16C5,316,Persons ,R15C1,Sentenced ,R16C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,SA,R5C5
16,6,R16C6,1741,Persons ,R15C1,Sentenced ,R16C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,WA,R5C6
16,7,R16C7,88,Persons ,R15C1,Sentenced ,R16C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Tas.,R5C7
16,8,R16C8,1006,Persons ,R15C1,Sentenced ,R16C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NT,R5C8
16,9,R16C9,62,Persons ,R15C1,Sentenced ,R16C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,ACT,R5C9
16,10,R16C10,8275,Persons ,R15C1,Sentenced ,R16C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Aust.,R5C10
17,2,R17C2,1301,Persons ,R15C1,Unsentenced ,R17C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NSW,R5C2
17,3,R17C3,389,Persons ,R15C1,Unsentenced ,R17C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Vic.,R5C3
17,4,R17C4,1077,Persons ,R15C1,Unsentenced ,R17C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Qld,R5C4
17,5,R17C5,420,Persons ,R15C1,Unsentenced ,R17C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,SA,R5C5
17,6,R17C6,905,Persons ,R15C1,Unsentenced ,R17C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,WA,R5C6
17,7,R17C7,61,Persons ,R15C1,Unsentenced ,R17C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Tas.,R5C7
17,8,R17C8,531,Persons ,R15C1,Unsentenced ,R17C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NT,R5C8
17,9,R17C9,37,Persons ,R15C1,Unsentenced ,R17C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,ACT,R5C9
17,10,R17C10,4725,Persons ,R15C1,Unsentenced ,R17C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Aust.,R5C10
18,2,R18C2,3597,Persons ,R15C1,Total,R18C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NSW,R5C2
18,3,R18C3,768,Persons ,R15C1,Total,R18C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Vic.,R5C3
18,4,R18C4,3479,Persons ,R15C1,Total,R18C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Qld,R5C4
18,5,R18C5,744,Persons ,R15C1,Total,R18C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,SA,R5C5
18,6,R18C6,2664,Persons ,R15C1,Total,R18C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,WA,R5C6
18,7,R18C7,152,Persons ,R15C1,Total,R18C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Tas.,R5C7
18,8,R18C8,1540,Persons ,R15C1,Total,R18C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NT,R5C8
18,9,R18C9,98,Persons ,R15C1,Total,R18C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,ACT,R5C9
18,10,R18C10,13039,Persons ,R15C1,Total,R18C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Aust.,R5C10
21,2,R21C2,5931,Males,R20C1,Sentenced ,R21C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NSW,R5C2
21,3,R21C3,3458,Males,R20C1,Sentenced ,R21C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Vic.,R5C3
21,4,R21C4,4158,Males,R20C1,Sentenced ,R21C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Qld,R5C4
21,5,R21C5,1317,Males,R20C1,Sentenced ,R21C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,SA,R5C5
21,6,R21C6,2659,Males,R20C1,Sentenced ,R21C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,WA,R5C6
21,7,R21C7,329,Males,R20C1,Sentenced ,R21C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Tas.,R5C7
21,8,R21C8,147,Males,R20C1,Sentenced ,R21C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NT,R5C8
21,9,R21C9,181,Males,R20C1,Sentenced ,R21C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,ACT,R5C9
21,10,R21C10,18185,Males,R20C1,Sentenced ,R21C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Aust.,R5C10
22,2,R22C2,3022,Males,R20C1,Unsentenced ,R22C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NSW,R5C2
22,3,R22C3,2517,Males,R20C1,Unsentenced ,R22C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Vic.,R5C3
22,4,R22C4,1735,Males,R20C1,Unsentenced ,R22C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Qld,R5C4
22,5,R22C5,883,Males,R20C1,Unsentenced ,R22C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,SA,R5C5
22,6,R22C6,1044,Males,R20C1,Unsentenced ,R22C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,WA,R5C6
22,7,R22C7,124,Males,R20C1,Unsentenced ,R22C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Tas.,R5C7
22,8,R22C8,99,Males,R20C1,Unsentenced ,R22C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NT,R5C8
22,9,R22C9,85,Males,R20C1,Unsentenced ,R22C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,ACT,R5C9
22,10,R22C10,9511,Males,R20C1,Unsentenced ,R22C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Aust.,R5C10
23,2,R23C2,8953,Males,R20C1,Total,R23C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NSW,R5C2
23,3,R23C3,5977,Males,R20C1,Total,R23C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Vic.,R5C3
23,4,R23C4,5929,Males,R20C1,Total,R23C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Qld,R5C4
23,5,R23C5,2217,Males,R20C1,Total,R23C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,SA,R5C5
23,6,R23C6,3716,Males,R20C1,Total,R23C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,WA,R5C6
23,7,R23C7,455,Males,R20C1,Total,R23C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Tas.,R5C7
23,8,R23C8,245,Males,R20C1,Total,R23C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NT,R5C8
23,9,R23C9,263,Males,R20C1,Total,R23C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,ACT,R5C9
23,10,R23C10,27761,Males,R20C1,Total,R23C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Aust.,R5C10
25,2,R25C2,313,Females,R24C1,Sentenced ,R25C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NSW,R5C2
25,3,R25C3,168,Females,R24C1,Sentenced ,R25C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Vic.,R5C3
25,4,R25C4,329,Females,R24C1,Sentenced ,R25C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Qld,R5C4
25,5,R25C5,79,Females,R24C1,Sentenced ,R25C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,SA,R5C5
25,6,R25C6,232,Females,R24C1,Sentenced ,R25C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,WA,R5C6
25,7,R25C7,26,Females,R24C1,Sentenced ,R25C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Tas.,R5C7
25,8,R25C8,11,Females,R24C1,Sentenced ,R25C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NT,R5C8
25,9,R25C9,9,Females,R24C1,Sentenced ,R25C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,ACT,R5C9
25,10,R25C10,1158,Females,R24C1,Sentenced ,R25C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Aust.,R5C10
26,2,R26C2,250,Females,R24C1,Unsentenced ,R26C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NSW,R5C2
26,3,R26C3,180,Females,R24C1,Unsentenced ,R26C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Vic.,R5C3
26,4,R26C4,222,Females,R24C1,Unsentenced ,R26C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Qld,R5C4
26,5,R26C5,74,Females,R24C1,Unsentenced ,R26C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,SA,R5C5
26,6,R26C6,102,Females,R24C1,Unsentenced ,R26C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,WA,R5C6
26,7,R26C7,7,Females,R24C1,Unsentenced ,R26C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Tas.,R5C7
26,8,R26C8,5,Females,R24C1,Unsentenced ,R26C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NT,R5C8
26,9,R26C9,7,Females,R24C1,Unsentenced ,R26C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,ACT,R5C9
26,10,R26C10,840,Females,R24C1,Unsentenced ,R26C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Aust.,R5C10
27,2,R27C2,562,Females,R24C1,Total,R27C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NSW,R5C2
27,3,R27C3,341,Females,R24C1,Total,R27C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Vic.,R5C3
27,4,R27C4,546,Females,R24C1,Total,R27C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Qld,R5C4
27,5,R27C5,153,Females,R24C1,Total,R27C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,SA,R5C5
27,6,R27C6,336,Females,R24C1,Total,R27C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,WA,R5C6
27,7,R27C7,37,Females,R24C1,Total,R27C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Tas.,R5C7
27,8,R27C8,20,Females,R24C1,Total,R27C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NT,R5C8
27,9,R27C9,13,Females,R24C1,Total,R27C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,ACT,R5C9
27,10,R27C10,1999,Females,R24C1,Total,R27C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Aust.,R5C10
29,2,R29C2,6249,Persons ,R28C1,Sentenced ,R29C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NSW,R5C2
29,3,R29C3,3622,Persons ,R28C1,Sentenced ,R29C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Vic.,R5C3
29,4,R29C4,4492,Persons ,R28C1,Sentenced ,R29C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Qld,R5C4
29,5,R29C5,1396,Persons ,R28C1,Sentenced ,R29C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,SA,R5C5
29,6,R29C6,2892,Persons ,R28C1,Sentenced ,R29C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,WA,R5C6
29,7,R29C7,354,Persons ,R28C1,Sentenced ,R29C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Tas.,R5C7
29,8,R29C8,154,Persons ,R28C1,Sentenced ,R29C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NT,R5C8
29,9,R29C9,190,Persons ,R28C1,Sentenced ,R29C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,ACT,R5C9
29,10,R29C10,19341,Persons ,R28C1,Sentenced ,R29C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Aust.,R5C10
30,2,R30C2,3270,Persons ,R28C1,Unsentenced ,R30C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NSW,R5C2
30,3,R30C3,2699,Persons ,R28C1,Unsentenced ,R30C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Vic.,R5C3
30,4,R30C4,1956,Persons ,R28C1,Unsentenced ,R30C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Qld,R5C4
30,5,R30C5,960,Persons ,R28C1,Unsentenced ,R30C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,SA,R5C5
30,6,R30C6,1149,Persons ,R28C1,Unsentenced ,R30C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,WA,R5C6
30,7,R30C7,134,Persons ,R28C1,Unsentenced ,R30C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Tas.,R5C7
30,8,R30C8,109,Persons ,R28C1,Unsentenced ,R30C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NT,R5C8
30,9,R30C9,90,Persons ,R28C1,Unsentenced ,R30C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,ACT,R5C9
30,10,R30C10,10350,Persons ,R28C1,Unsentenced ,R30C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Aust.,R5C10
31,2,R31C2,9515,Persons ,R28C1,Total,R31C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,NSW,R5C2
31,3,R31C3,6318,Persons ,R28C1,Total,R31C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Vic.,R5C3
31,4,R31C4,6480,Persons ,R28C1,Total,R31C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Qld,R5C4
31,5,R31C5,2364,Persons ,R28C1,Total,R31C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,SA,R5C5
31,6,R31C6,4051,Persons ,R28C1,Total,R31C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,WA,R5C6
31,7,R31C7,491,Persons ,R28C1,Total,R31C1,"Indigenous status, sex and legal status",R5C1,NON-INDIGENOUS,R19C1,Tas.,R5C7
