row,col,address,.value,sex,sex_source,indigenous_status,indigenous_status_source,rate_type,rate_type_source,state,state_source
31,5,R31C5,2451,Persons,R30C1,Aboriginal and Torres Strait Islander,R31C1,AGE STANDARDISED RATE ,R21C1,SA,R5C5
31,6,R31C6,3213.6,Persons,R30C1,Aboriginal and Torres Strait Islander,R31C1,AGE STANDARDISED RATE ,R21C1,WA,R5C6
31,7,R31C7,682.1,Persons,R30C1,Aboriginal and Torres Strait Islander,R31C1,AGE STANDARDISED RATE ,R21C1,Tas.,R5C7
31,8,R31C8,2771.7,Persons,R30C1,Aboriginal and Torres Strait Islander,R31C1,AGE STANDARDISED RATE ,R21C1,NT,R5C8
31,9,R31C9,1543.8,Persons,R30C1,Aboriginal and Torres Strait Islander,R31C1,AGE STANDARDISED RATE ,R21C1,ACT,R5C9
31,10,R31C10,2151.1,Persons,R30C1,Aboriginal and Torres Strait Islander,R31C1,AGE STANDARDISED RATE ,R21C1,Aust.,R5C10
32,2,R32C2,153.5,Persons,R30C1,Non-Indigenous,R32C1,AGE STANDARDISED RATE ,R21C1,NSW,R5C2
32,3,R32C3,117,Persons,R30C1,Non-Indigenous,R32C1,AGE STANDARDISED RATE ,R21C1,Vic.,R5C3
32,4,R32C4,166.9,Persons,R30C1,Non-Indigenous,R32C1,AGE STANDARDISED RATE ,R21C1,Qld,R5C4
32,5,R32C5,181.2,Persons,R30C1,Non-Indigenous,R32C1,AGE STANDARDISED RATE ,R21C1,SA,R5C5
32,6,R32C6,193.4,Persons,R30C1,Non-Indigenous,R32C1,AGE STANDARDISED RATE ,R21C1,WA,R5C6
32,7,R32C7,132.3,Persons,R30C1,Non-Indigenous,R32C1,AGE STANDARDISED RATE ,R21C1,Tas.,R5C7
32,8,R32C8,180.7,Persons,R30C1,Non-Indigenous,R32C1,AGE STANDARDISED RATE ,R21C1,NT,R5C8
32,9,R32C9,78.8,Persons,R30C1,Non-Indigenous,R32C1,AGE STANDARDISED RATE ,R21C1,ACT,R5C9
32,10,R32C10,150.7,Persons,R30C1,Non-Indigenous,R32C1,AGE STANDARDISED RATE ,R21C1,Aust.,R5C10
35,2,R35C2,13.6,Males,R34C1,Crude,R35C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NSW,R5C2
35,3,R35C3,14.7,Males,R34C1,Crude,R35C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Vic.,R5C3
35,4,R35C4,14.4,Males,R34C1,Crude,R35C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Qld,R5C4
35,5,R35C5,15.5,Males,R34C1,Crude,R35C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,SA,R5C5
35,6,R35C6,19.5,Males,R34C1,Crude,R35C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,WA,R5C6
35,7,R35C7,6.2,Males,R34C1,Crude,R35C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Tas.,R5C7
35,8,R35C8,17.1,Males,R34C1,Crude,R35C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NT,R5C8
35,9,R35C9,19.8,Males,R34C1,Crude,R35C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,ACT,R5C9
35,10,R35C10,16.2,Males,R34C1,Crude,R35C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Aust.,R5C10
36,2,R36C2,11.9,Males,R34C1,Age-standardised,R36C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NSW,R5C2
36,3,R36C3,13.6,Males,R34C1,Age-standardised,R36C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Vic.,R5C3
36,4,R36C4,12,Males,R34C1,Age-standardised,R36C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Qld,R5C4
36,5,R36C5,13.4,Males,R34C1,Age-standardised,R36C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,SA,R5C5
36,6,R36C6,16.3,Males,R34C1,Age-standardised,R36C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,WA,R5C6
36,7,R36C7,5,Males,R34C1,Age-standardised,R36C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Tas.,R5C7
36,8,R36C8,15,Males,R34C1,Age-standardised,R36C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NT,R5C8
36,9,R36C9,19.5,Males,R34C1,Age-standardised,R36C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,ACT,R5C9
36,10,R36C10,13.9,Males,R34C1,Age-standardised,R36C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Aust.,R5C10
39,2,R39C2,21.9,Females,R38C1,Crude,R39C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NSW,R5C2
39,3,R39C3,15.2,Females,R38C1,Crude,R39C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Vic.,R5C3
39,4,R39C4,19.2,Females,R38C1,Crude,R39C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Qld,R5C4
39,5,R39C5,26.5,Females,R38C1,Crude,R39C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,SA,R5C5
39,6,R39C6,22.4,Females,R38C1,Crude,R39C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,WA,R5C6
39,7,R39C7,7.9,Females,R38C1,Crude,R39C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Tas.,R5C7
39,8,R39C8,20.3,Females,R38C1,Crude,R39C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NT,R5C8
39,9,R39C9,17.8,Females,R38C1,Crude,R39C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,ACT,R5C9
39,10,R39C10,22.7,Females,R38C1,Crude,R39C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Aust.,R5C10
40,2,R40C2,19,Females,R38C1,Age-standardised,R40C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NSW,R5C2
40,3,R40C3,13.2,Females,R38C1,Age-standardised,R40C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Vic.,R5C3
40,4,R40C4,15.4,Females,R38C1,Age-standardised,R40C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Qld,R5C4
40,5,R40C5,21.7,Females,R38C1,Age-standardised,R40C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,SA,R5C5
40,6,R40C6,18.8,Females,R38C1,Age-standardised,R40C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,WA,R5C6
40,7,R40C7,n.a.,Females,R38C1,Age-standardised,R40C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Tas.,R5C7
40,8,R40C8,n.a.,Females,R38C1,Age-standardised,R40C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NT,R5C8
40,9,R40C9,n.a.,Females,R38C1,Age-standardised,R40C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,ACT,R5C9
40,10,R40C10,19.3,Females,R38C1,Age-standardised,R40C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Aust.,R5C10
43,2,R43C2,14,Persons,R42C1,Crude,R43C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NSW,R5C2
43,3,R43C3,15,Persons,R42C1,Crude,R43C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Vic.,R5C3
43,4,R43C4,14.8,Persons,R42C1,Crude,R43C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Qld,R5C4
43,5,R43C5,16.1,Persons,R42C1,Crude,R43C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,SA,R5C5
43,6,R43C6,19.7,Persons,R42C1,Crude,R43C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,WA,R5C6
43,7,R43C7,6.5,Persons,R42C1,Crude,R43C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Tas.,R5C7
43,8,R43C8,17.2,Persons,R42C1,Crude,R43C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NT,R5C8
43,9,R43C9,20.7,Persons,R42C1,Crude,R43C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,ACT,R5C9
43,10,R43C10,16.7,Persons,R42C1,Crude,R43C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Aust.,R5C10
44,2,R44C2,12.2,Persons,R42C1,Age-standardised,R44C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NSW,R5C2
44,3,R44C3,13.7,Persons,R42C1,Age-standardised,R44C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Vic.,R5C3
44,4,R44C4,12.3,Persons,R42C1,Age-standardised,R44C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Qld,R5C4
44,5,R44C5,13.5,Persons,R42C1,Age-standardised,R44C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,SA,R5C5
44,6,R44C6,16.6,Persons,R42C1,Age-standardised,R44C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,WA,R5C6
44,7,R44C7,5.2,Persons,R42C1,Age-standardised,R44C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Tas.,R5C7
44,8,R44C8,15.3,Persons,R42C1,Age-standardised,R44C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,NT,R5C8
44,9,R44C9,19.6,Persons,R42C1,Age-standardised,R44C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,ACT,R5C9
44,10,R44C10,14.3,Persons,R42C1,Age-standardised,R44C1,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,R33C1,Aust.,R5C10
